name,brand,category,price,lidlPlusPrice,packagingQty,packagingUnit,compareUnit,pricePerUnit,cal,protein,carbs,fat,link
"Poule et ses œufs fourrage praliné","","Favorina","3.99","","250","g","kg","15.96","300","0","6.7","33.3","https://www.lidl.fr/p/poule-et-ses-oeufs-fourrage-praline/p10033790"
"Œufs Dubaï style","","Favorina","4.99","3.99","","","","","55","10.7","2.4","0","https://www.lidl.fr/p/oeufs-dubai-style/p10033791"
"Saint Agur tranche","","Moins Cher","0.93","","","","kg","13.05","367","16.7","0","33.3","https://www.lidl.fr/p/saint-agur-tranche/p10033792"
"Cheddar râpé","","Moins Cher","2.39","1.91","","","","","408","23.3","2.4","34","https://www.lidl.fr/p/cheddar-rape/p10033793"
"BORDEAUX","","Foire aux vins","2.49","","","","L","3.32","200","0","40","0","https://www.lidl.fr/p/bordeaux/p10033798"
"LANGUEDOC-ROUSILON l Fitou","","Foire aux vins","4.49","","","","L","5.98","36","1","5.8","0.8","https://www.lidl.fr/p/languedoc-rousilon-l-fitou/p10033799"
"ALSACE l Gewurztraminer","","Foire aux vins","3.89","","","","L","5.18","81","0.1","2.6","0","https://www.lidl.fr/p/alsace-l-gewurztraminer/p10033801"
"SUD-OUEST l Côtes de Gascogne","","Foire aux vins","2.49","","","","L","3.32","46","0","12.5","0","https://www.lidl.fr/p/sud-ouest-l-cotes-de-gascogne/p10033803"
"LANGUEDOC-ROUSILLON l Pays d'Oc","","Foire aux vins","5.66","3.73","","","","","429","3.6","42.9","27.9","https://www.lidl.fr/p/languedoc-rousillon-l-pays-d-oc/p10033805"
"BORDEAUX l Blaye Côtes de Bordeaux","","Foire aux vins","3.99","","75","cl","L","5.32","200","0","40","0","https://www.lidl.fr/p/bordeaux-l-blaye-cotes-de-bordeaux/p10033807"
"BOURGOGNE l Bourgogne Hautes- Côtes de Nuits","","Foire aux vins","10.95","","75","cl","L","14.6","393","10.7","3.6","39.3","https://www.lidl.fr/p/bourgogne-l-bourgogne-hautes-cotes-de-nuits/p10033808"
"VALLÉE DU RHÔNE l Côtes du Rhône Villages","","Foire aux vins","4.99","","75","cl","L","6.65","263","0","57.9","0","https://www.lidl.fr/p/vallee-du-rhone-l-cotes-du-rhone-villages/p10033811"
"LANGEDOC-ROUSSILLON l Corbières","","Foire aux vins","4.49","","75","cl","L","5.99","","","","","https://www.lidl.fr/p/langedoc-roussillon-l-corbieres/p10033812"
"LANGUEDOC-ROUSSILLON l Minervois","","Foire aux vins","4.29","","75","cl","L","5.72","36","1","5.8","0.8","https://www.lidl.fr/p/languedoc-roussillon-l-minervois/p10033813"
"LANGUEDOC-ROUSSILLON l Fitou","","Foire aux vins","6.93","5.89","","","","","36","1","5.8","0.8","https://www.lidl.fr/p/languedoc-roussillon-l-fitou/p10033814"
"LANGUEDOC-ROUSSILLON l Fitou","","Foire aux vins","4.99","","75","cl","L","6.65","36","1","5.8","0.8","https://www.lidl.fr/p/languedoc-roussillon-l-fitou/p10033815"
"BOURGOGNE l Bourgogne Chardonnay","","Foire aux vins","7.99","","75","cl","L","10.65","84","0.1","2.2","0","https://www.lidl.fr/p/bourgogne-l-bourgogne-chardonnay/p10033816"
"BOURGOGNE l Mâcon-Lugny","","Foire aux vins","7.49","","75","cl","L","9.99","393","10.7","3.6","39.3","https://www.lidl.fr/p/bourgogne-l-macon-lugny/p10033817"
"LANGUEDOC-ROUSSILLON l Pays D'Oc","","Foire aux vins","3.89","","75","cl","L","5.19","429","3.6","42.9","27.9","https://www.lidl.fr/p/languedoc-roussillon-l-pays-d-oc/p10033819"
"VIN DE FRANCE l Vin Orange","","Foire aux vins","4.99","","75","cl","L","6.65","83","0.1","2.5","0","https://www.lidl.fr/p/vin-de-france-l-vin-orange/p10033820"
"CRÉMANT DE BORDEAUX","","Foire aux vins","4.99","","75","cl","L","6.65","200","0","40","0","https://www.lidl.fr/p/cremant-de-bordeaux/p10033823"
"CLAIRETTE DE DIE","","Foire aux vins","5.99","","75","cl","L","7.99","375","12.5","73.2","1.8","https://www.lidl.fr/p/clairette-de-die/p10033825"
"Chrysanthème collection","","Plantes & fleurs","4.99","3.99","","","","","500","2.3","61.4","27.3","https://www.lidl.fr/p/chrysantheme-collection/p10033830"
"Kalanchoé tricolor en coupe","","Plantes & fleurs","8.99","","1","pièce","","","378","13.3","64.4","5.6","https://www.lidl.fr/p/kalanchoe-tricolor-en-coupe/p10033832"
"Sachet de bulbes standard","","Plantes & fleurs","1.99","","1","pièce","","","31","1.2","7.3","0.2","https://www.lidl.fr/p/sachet-de-bulbes-standard/p10033837"
"Magret de canard fumé du Sud-Ouest","","Deluxe","3.79","","90","g","kg","42.11","123","19.8","0","4.3","https://www.lidl.fr/p/magret-de-canard-fume-du-sud-ouest/p10033841"
"Prosciutto di Parma AOP","","Deluxe","19.99","","1.7","kg","kg","11.76","200","26.7","0","11.7","https://www.lidl.fr/p/prosciutto-di-parma-aop/p10033842"
"Filet de saumon ASC de Norvège","","Deluxe","4.99","3.99","","","","","290","23","9","18","https://www.lidl.fr/p/filet-de-saumon-asc-de-norvege/p10033844"
"Saumon ASC façon gravlax","","Deluxe","12.49","9.99","","","","","232","21.4","10.7","12.5","https://www.lidl.fr/p/saumon-asc-facon-gravlax/p10033845"
"Truite ASC saumonée danoise fumée","","Deluxe","9.29","","300","g","kg","30.97","82","0.1","2.3","0","https://www.lidl.fr/p/truite-asc-saumonee-danoise-fumee/p10033846"
"Œufs de lompes MSC","","Deluxe","4.39","3.95","","","","","55","10.7","2.4","0","https://www.lidl.fr/p/oeufs-de-lompes-msc/p10033847"
"Gigot d'agneau de 7 heures","","Deluxe","15.99","","600","g","kg","26.65","125","21.4","0","4.5","https://www.lidl.fr/p/gigot-d-agneau-de-7-heures/p10033848"
"Bouchées ris de veau","","Deluxe","3.99","","280","g","kg","14.25","303","11.5","0","28.6","https://www.lidl.fr/p/bouchees-ris-de-veau/p10033849"
"Brie fourré saveur truffe et brisures de truffes d'été","","Deluxe","3.99","","220","g","kg","18.14","357","17.9","0","32.1","https://www.lidl.fr/p/brie-fourre-saveur-truffe-et-brisures-de-truffes-d-ete/p10033851"
"Tomme de brebis truffée","","Deluxe","5.1","","","","kg","29.99","386","8.8","7","36.8","https://www.lidl.fr/p/tomme-de-brebis-truffee/p10033853"
"Grana padano AOP","","Deluxe","3.99","","200","g","kg","19.95","393","32.1","0","28.6","https://www.lidl.fr/p/grana-padano-aop/p10033854"
"Soufflés","","Deluxe","2.19","","","","kg","12.17","172","7.9","5.9","13","https://www.lidl.fr/p/souffles/p10033856"
"Pain surprise aux céréales","","Deluxe","9.99","","950","g","kg","10.52","368","9","75.7","4.9","https://www.lidl.fr/p/pain-surprise-aux-cereales/p10033858"
"12 moules farcies","","Deluxe","3.39","","125","g","kg","27.12","86","11.9","3.7","2.2","https://www.lidl.fr/p/12-moules-farcies/p10033860"
"Cassolette au colin d'Alaska, noix de Saint-Jacques et crevettes","","Deluxe","7.49","5.99","","","","","884","0","0","100","https://www.lidl.fr/p/cassolette-au-colin-d-alaska-noix-de-saint-jacques-et-crevettes/p10033861"
"Saumon en croûte","","Deluxe","7.99","","700","g","kg","11.41","902","0","0","100","https://www.lidl.fr/p/saumon-en-croute/p10033862"
"Saumon sauvage du Pacifique en croûte","","Deluxe","6.49","5.19","","","","","902","0","0","100","https://www.lidl.fr/p/saumon-sauvage-du-pacifique-en-croute/p10033863"
"Poêlée de champignons","","Deluxe","3.99","3.19","","","","","","","","","https://www.lidl.fr/p/poelee-de-champignons/p10033866"
"Pommes duchesse à la patate douce","","Deluxe","3.69","2.95","","","","","136","2.9","14.3","7.9","https://www.lidl.fr/p/pommes-duchesse-a-la-patate-douce/p10033867"
"Bloc de foie gras de canard","","Deluxe","8.99","","200","g","kg","44.95","136","18.7","3.5","4.6","https://www.lidl.fr/p/bloc-de-foie-gras-de-canard/p10033869"
"Sauce de pistache","","Deluxe","3.33","2.99","","","","","633","30","30","46.7","https://www.lidl.fr/p/sauce-de-pistache/p10033870"
"Tartufata","","Deluxe","5.49","4.39","","","","","91","0","3.4","8.4","https://www.lidl.fr/p/tartufata/p10033871"
"Huile de pépins de courge styrienne","","Deluxe","4.49","","25","cl","L","17.96","275","14.3","2.2","23.1","https://www.lidl.fr/p/huile-de-pepins-de-courge-styrienne/p10033872"
"Knacks d'Alsace","","Moins Cher","2.79","1.12","","","","","365","21","0.5","26","https://www.lidl.fr/p/knacks-d-alsace/p10033913"
"Filet de saumon entier avec peau","","Viandes, volailles & poissons","16.99","","","","","","290","23","9","18","https://www.lidl.fr/p/filet-de-saumon-entier-avec-peau/p10033995"
"Pavé rustique Label Rouge","","Pains & viennoiseries","1.59","","","","kg","3.93","232","7.1","46.4","3.6","https://www.lidl.fr/p/pave-rustique-label-rouge/p178810"
"Pain au seigle","","Pains & viennoiseries","1.19","","","","kg","3.75","267","10","53.3","0","https://www.lidl.fr/p/pain-au-seigle/p5605647"
"Pain au maïs","","Pains & viennoiseries","1.39","","","","kg","4.63","69","15.3","0","0.4","https://www.lidl.fr/p/pain-au-mais/p5608775"
"Pain épeautre courge","","Pains & viennoiseries","1.39","","","","kg","4.43","127","5.5","26.4","0.9","https://www.lidl.fr/p/pain-epeautre-courge/p5610778"
